Employee Directory ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
First Name,Last Name,Title,Department,Email,Extension,,,,,,,,,,,,,,,,,,,,
Ainsley,Barnett,Customer Service Representative,Customer Service,abarnett@red30tech.com,1457,,,,,,,,,,,,,,,,,,,,
Davis,Lang,Product Manager,Travel Products,dlang@red30tech.com,1298,,,,,,,,,,,,,,,,,,,,
Yvonne,Fischer,Product Manager,Travel Products,yfischer@red30tech.com,1760,,,,,,,,,,,,,,,,,,,,
Tucker,Quinn,Sales Representative,Travel Products,tquinn@red30tech.com,1827,,,,,,,,,,,,,,,,,,,,
Mary,Small,Designer,Marketing,msmall@red30tech.com,1469,,,,,,,,,,,,,,,,,,,,
Eric,Burch,Product Manager,Travel Products,eburch@red30tech.com,1489,,,,,,,,,,,,,,,,,,,,
Kermit,Bowen,Sales Representative,Travel Products,kbowen@red30tech.com,1756,,,,,,,,,,,,,,,,,,,,
Amaya,Witt,Customer Service Representative,Customer Service,awitt@red30tech.com,1785,,,,,,,,,,,,,,,,,,,,
Jemima,Mccormick,Customer Service Representative,Customer Service,jmccormick@red30tech.com,1377,,,,,,,,,,,,,,,,,,,,
Dominic,Buchanan,Product Manager,Travel Products,dbuchanan@red30tech.com,1892,,,,,,,,,,,,,,,,,,,,
Hermione,Lane,Product Manager,Travel Products,hlane@red30tech.com,1549,,,,,,,,,,,,,,,,,,,,
Quincy,Lindsay,Designer,Marketing,qlindsay@red30tech.com,1500,,,,,,,,,,,,,,,,,,,,
Lewis,Rivas,Senior Writer,Marketing,lrivas@red30tech.com,1894,,,,,,,,,,,,,,,,,,,,
Deanna,Rowland,Designer,Marketing,drowland@red30tech.com,1358,,,,,,,,,,,,,,,,,,,,
Julie,Davenport,Customer Service Representative,Customer Service,jdavenport@red30tech.com,1761,,,,,,,,,,,,,,,,,,,,
Scarlet,Mccoy,Accountant,Finance,smccoy@red30tech.com,1405,,,,,,,,,,,,,,,,,,,,
Dolan,York,Server Adminstrator,Information Systems,dyork@red30tech.com,1277,,,,,,,,,,,,,,,,,,,,
Zahir,Pickett,Web Designer,Marketing,zpickett@red30tech.com,1273,,,,,,,,,,,,,,,,,,,,
Thor,Watson,Customer Service Representative,Customer Service,twatson@red30tech.com,1387,,,,,,,,,,,,,,,,,,,,
Isaiah,Kelley,Engineer,Facilities,ikelley@red30tech.com,1646,,,,,,,,,,,,,,,,,,,,
Medge,Rollins,Customer Service Representative,Customer Service,mrollins@red30tech.com,1400,,,,,,,,,,,,,,,,,,,,
Hector,Dillon,Accountant,Finance,hdillon@red30tech.com,1578,,,,,,,,,,,,,,,,,,,,
Amelia,Mcfadden,Customer Service Representative,Customer Service,amcfadden@red30tech.com,1529,,,,,,,,,,,,,,,,,,,,
Shafira,Lambert,Designer,Marketing,slambert@red30tech.com,1867,,,,,,,,,,,,,,,,,,,,
Rowan,Justice,HR Assistant,Human Resources,rjustice@red30tech.com,1568,,,,,,,,,,,,,,,,,,,,
Guy,Maddox,Designer,Marketing,gmaddox@red30tech.com,1827,,,,,,,,,,,,,,,,,,,,
Guinevere,Banks,Engineer,Facilities,gbanks@red30tech.com,1548,,,,,,,,,,,,,,,,,,,,
Sonia,Haynes,Sales Representative,Travel Products,shaynes@red30tech.com,1317,,,,,,,,,,,,,,,,,,,,
Thane,Rivers,Senior Writer,Marketing,trivers@red30tech.com,1276,,,,,,,,,,,,,,,,,,,,
Dillon,Hahn,HR Assistant,Human Resources,dhahn@red30tech.com,1385,,,,,,,,,,,,,,,,,,,,
Gil,Leach,Senior Writer,Marketing,gleach@red30tech.com,1563,,,,,,,,,,,,,,,,,,,,
Bert,Russell,Vice President HR,Human Resources,brussell@red30tech.com,1574,,,,,,,,,,,,,,,,,,,,
Elliott,Moore,Sales Representative,Travel Products,emoore@red30tech.com,1320,,,,,,,,,,,,,,,,,,,,
Ciara,Lane,Photographer,Marketing,clane@red30tech.com,1751,,,,,,,,,,,,,,,,,,,,
Brielle,Lester,Sales Representative,Travel Products,blester@red30tech.com,1872,,,,,,,,,,,,,,,,,,,,
Abbot,Petty,Travel Writer,Travel Products,apetty@red30tech.com,1775,,,,,,,,,,,,,,,,,,,,
Donovan,Jarvis,CEO,Executive Team,djarvis@red30tech.com,1662,,,,,,,,,,,,,,,,,,,,
Gail,Powers,Sales Representative,Travel Products,gpowers@red30tech.com,1661,,,,,,,,,,,,,,,,,,,,
Helen,Leon,Video Editor,Marketing,hleon@red30tech.com,1366,,,,,,,,,,,,,,,,,,,,
Deanna,Michael,Web Designer,Marketing,dmichael@red30tech.com,1876,,,,,,,,,,,,,,,,,,,,
Lila,Young,Sales Representative,Travel Products,lyoung@red30tech.com,1396,,,,,,,,,,,,,,,,,,,,
Grant,Nguyen,Sales Representative,Travel Products,gnguyen@red30tech.com,1853,,,,,,,,,,,,,,,,,,,,
Reagan,Wheeler,Executive Assistant,Executive Team,rwheeler@red30tech.com,1258,,,,,,,,,,,,,,,,,,,,
Cadman,Powers,Photographer,Marketing,cpowers@red30tech.com,1829,,,,,,,,,,,,,,,,,,,,
Yvette,Diaz,Web Designer,Marketing,ydiaz@red30tech.com,1376,,,,,,,,,,,,,,,,,,,,
